GridID,Longitude,latitude,TARGET,MONTH,LOG,LTH
1145,154,25,D,12,0.000,0.000
1413,152,31,D,8,0.000,0.000
1151,160,25,D,10,0.000,0.000
794,163,17,D,11,0.000,0.000
656,160,14,D,7,0.000,0.000
342,161,7,D,10,0.000,0.000
255,164,5,D,4,0.000,0.000
301,165,6,D,4,0.000,0.000
616,165,13,D,2,0.000,0.000
1056,155,23,S,6,0.000,0.000
1718,142,38,S,11,0.000,0.000
1540,144,34,S,1,0.000,0.000
1720,144,38,S,11,0.000,0.000
1677,146,37,S,12,0.000,0.000
1722,146,38,S,11,0.000,0.000
1635,149,36,S,12,0.000,0.000
1501,150,33,S,1,0.000,0.000
1547,151,34,S,2,0.000,0.000
1458,152,32,S,3,0.000,0.000
1548,152,34,S,1,0.000,0.000
1460,154,32,S,2,0.000,0.000
1550,154,34,S,2,0.000,0.000
1595,154,35,S,12,0.000,0.000
1416,155,31,S,2,0.000,0.000
1461,155,32,S,2,0.000,0.000
1596,155,35,S,1,0.000,0.000
1417,156,31,S,1,0.000,0.000
1417,156,31,S,3,0.000,0.000
1417,156,31,S,4,0.000,0.000
1462,156,32,S,1,0.000,0.000
1462,156,32,S,2,0.000,0.000
1462,156,32,S,3,0.000,0.000
1418,157,31,S,2,0.000,0.000
1463,157,32,S,2,0.000,0.000
1463,157,32,S,3,0.000,0.000
1508,157,33,S,2,0.000,0.000
1419,158,31,S,2,0.000,0.000
1419,158,31,S,3,0.000,0.000
1420,159,31,S,3,0.000,0.000
1421,160,31,S,3,0.000,0.000
1422,161,31,S,3,0.000,0.000
1467,161,32,S,2,0.000,0.000
1288,162,28,S,4,0.000,0.000
1378,162,30,S,3,0.000,0.000
1423,162,31,S,3,0.000,0.000
1379,163,30,S,4,0.000,0.000
1425,164,31,S,3,0.000,0.000
1426,165,31,S,3,0.000,0.000
1338,167,29,S,4,0.000,0.000
1194,158,26,S,5,0.000,0.000
1239,158,27,S,4,0.000,0.000
1152,161,25,S,5,0.000,0.000
1245,164,27,S,4,0.000,0.000
1339,168,29,S,3,0.000,0.000
1429,168,31,S,3,0.000,0.000
1297,171,28,S,3,0.000,0.000
1253,172,27,S,5,0.000,0.000
1751,175,38,S,8,0.000,0.000
